date,customer id,salary range,age,children,gender,Q1,Q2,Q3,Q4,Q5,Q6
5/17/2018,152300,25000,29,1,F,5,5,2,1,5,5
5/12/2018,152301,35000,33,0,M,5,2,1,4,2,2
5/15/2018,152306,30000,23,1,M,2,5,3,1,1,3
5/21/2018,152307,35000,46,1,F,1,5,2,3,1,2
5/18/2018,152308,45000,41,2,F,4,5,2,4,1,1
5/17/2018,152309,45000,50,0,F,1,2,4,1,1,2
5/19/2018,152310,40000,25,1,M,4,2,2,4,4,2
5/10/2018,152311,45000,31,0,M,3,3,5,2,1,1
5/14/2018,152312,45000,21,1,M,5,5,1,4,1,5
5/22/2018,152313,25000,25,0,M,3,1,4,2,5,3
5/10/2018,152316,40000,39,2,F,5,5,2,4,5,5
5/14/2018,152317,30000,35,0,F,2,4,5,2,5,2
5/21/2018,152318,25000,38,0,M,5,4,5,3,1,5
5/15/2018,152319,45000,21,0,F,1,2,3,3,4,5
5/14/2018,152320,35000,33,1,F,1,4,5,2,3,2
5/18/2018,152321,35000,40,1,F,1,1,1,4,2,3
5/18/2018,152322,100000,32,2,F,1,4,1,1,1,4
5/21/2018,152323,20000,39,1,M,4,1,4,1,1,4
5/10/2018,152324,20000,43,1,F,4,3,4,2,5,3
5/13/2018,152331,25000,32,1,F,1,4,3,4,2,2
5/21/2018,152332,35000,34,0,F,1,3,2,5,1,3
5/16/2018,152333,50000,47,0,M,5,1,3,3,2,2
5/16/2018,152334,35000,45,0,M,3,2,2,4,3,2
5/12/2018,152335,35000,43,0,F,3,1,2,5,4,5
5/19/2018,152336,20000,38,0,F,5,4,1,2,5,4
5/15/2018,152337,40000,36,0,M,5,2,3,4,2,3
5/11/2018,152338,45000,40,0,M,3,1,5,5,3,2
5/12/2018,152339,35000,27,1,F,1,2,3,1,2,5
5/18/2018,152340,45000,33,1,M,5,3,1,1,2,2
5/24/2018,152341,25000,21,1,M,1,5,4,5,3,2
5/17/2018,152342,25000,37,0,M,3,2,1,5,3,3
5/12/2018,152343,90000,20,1,M,3,4,2,5,5,3
5/24/2018,152351,35000,33,0,M,5,2,5,3,2,3
5/17/2018,152352,30000,43,0,M,3,5,2,5,1,2
5/14/2018,152353,35000,31,0,M,4,3,1,4,3,5
5/20/2018,152354,25000,43,0,M,1,4,3,5,5,2
5/17/2018,152355,35000,32,1,F,4,5,1,5,2,1
5/21/2018,152356,20000,43,0,F,2,2,4,4,2,1
5/21/2018,152357,25000,38,0,M,2,1,1,2,1,3
5/12/2018,152358,15000,37,1,M,1,4,3,5,4,4
5/24/2018,152359,25000,31,1,M,1,4,2,2,4,1
5/23/2018,152360,100000,38,1,F,3,5,4,1,2,3
5/24/2018,152361,45000,42,1,F,5,5,2,1,2,3
5/22/2018,152362,40000,49,0,F,1,4,2,1,5,5
5/20/2018,152363,20000,51,0,M,3,1,4,4,4,3
5/12/2018,152364,35000,39,1,M,2,5,1,5,2,4
5/16/2018,152365,40000,55,2,M,2,4,2,5,3,2
5/14/2018,152366,35000,34,0,F,1,1,3,1,4,3
5/14/2018,152367,55000,24,0,F,5,5,4,2,4,5
5/16/2018,152368,35000,31,0,M,3,2,5,2,2,4
5/12/2018,152375,35000,33,0,F,3,2,3,3,1,4
5/22/2018,152376,35000,39,1,F,5,1,1,3,1,2
5/16/2018,152377,100000,28,2,M,4,5,2,2,3,2
5/12/2018,152378,15000,40,0,M,2,1,2,5,3,4
5/19/2018,152379,30000,39,0,M,1,5,4,5,4,2
5/13/2018,152380,15000,36,0,F,1,3,5,4,4,1
5/21/2018,152381,30000,40,0,F,2,5,3,2,3,3
5/17/2018,152382,55000,35,0,M,2,3,4,5,5,2
5/16/2018,152383,15000,32,1,M,4,3,3,1,2,3
5/17/2018,152384,30000,42,1,F,5,2,3,5,2,5
5/10/2018,152385,15000,28,0,M,2,2,3,4,5,4
5/12/2018,152386,30000,38,1,F,4,1,3,4,4,3
5/19/2018,152387,30000,39,1,M,3,4,2,5,4,5
5/19/2018,152388,40000,22,0,M,4,2,2,5,1,3
5/11/2018,152389,20000,39,1,M,1,2,5,5,5,5
5/21/2018,152395,30000,40,0,M,3,2,4,2,1,5
5/24/2018,152396,30000,47,1,F,1,3,4,5,3,5
5/19/2018,152397,40000,39,0,F,5,3,2,4,1,5
5/10/2018,152398,25000,45,3,M,2,3,2,5,4,2
5/17/2018,152399,45000,23,0,M,5,4,1,3,3,4
5/23/2018,152400,35000,53,0,M,5,2,2,3,1,3
5/16/2018,152401,40000,37,0,F,2,5,2,2,5,4
5/17/2018,152402,40000,31,1,M,4,2,4,3,4,3
5/12/2018,152403,25000,29,0,F,5,1,1,4,3,5
5/12/2018,152404,30000,29,2,M,3,1,5,2,4,1
5/12/2018,152405,40000,34,0,M,1,2,5,1,4,2
5/24/2018,152406,100000,32,0,F,4,2,1,2,5,5
5/15/2018,152407,25000,32,1,M,4,3,2,1,5,2
5/11/2018,152408,30000,21,1,M,5,1,2,4,3,4
5/24/2018,152409,35000,46,0,M,4,4,3,2,2,3
5/11/2018,152410,35000,24,0,F,3,3,1,1,2,1
5/10/2018,152411,45000,45,1,F,5,2,5,4,3,3
5/12/2018,152412,30000,43,0,M,1,4,1,4,5,4
5/13/2018,152413,40000,29,0,M,2,3,5,2,2,1
5/11/2018,152414,20000,33,0,F,5,5,2,4,5,3
5/15/2018,152421,30000,28,0,F,3,4,5,5,5,4
5/17/2018,152422,30000,40,1,M,5,4,4,4,5,5
5/24/2018,152423,35000,39,0,M,4,5,5,3,2,1
5/11/2018,152424,35000,37,1,M,4,4,2,3,4,3
5/19/2018,152425,30000,36,0,F,2,5,5,1,3,2
5/12/2018,152426,25000,38,0,F,3,2,1,4,3,2
5/15/2018,152427,45000,23,1,F,4,4,4,2,2,5
5/14/2018,152428,15000,39,1,F,2,3,2,1,5,3
5/23/2018,152429,45000,20,0,M,4,4,5,3,1,3
5/23/2018,152430,20000,32,1,M,5,1,2,4,2,1
5/18/2018,152431,35000,28,0,M,5,3,1,4,5,3
5/19/2018,152432,40000,38,0,M,2,3,5,5,5,4
5/11/2018,152433,30000,30,2,F,1,4,5,2,3,2
5/19/2018,152434,30000,29,0,M,2,3,1,1,2,1
5/14/2018,152435,25000,24,0,F,5,4,1,4,5,2
5/19/2018,152436,40000,47,1,M,3,5,2,5,2,3
5/18/2018,152437,30000,31,2,M,2,3,5,4,5,5
5/13/2018,152447,15000,37,0,M,5,5,2,1,4,3
5/15/2018,152448,55000,41,1,F,3,5,5,3,5,1
5/21/2018,152449,100000,38,0,M,2,2,3,2,1,1
5/17/2018,152450,20000,30,1,F,1,4,2,1,3,1
5/16/2018,152451,15000,31,0,F,2,4,3,5,2,4
5/15/2018,152452,30000,41,1,F,3,4,5,5,4,5
5/19/2018,152453,35000,44,0,F,5,4,4,1,2,5
5/10/2018,152454,30000,40,2,F,3,1,1,4,3,4
5/24/2018,152455,35000,45,0,M,3,2,4,1,3,3
5/15/2018,152456,35000,41,1,M,2,3,3,4,4,1
5/22/2018,152457,50000,38,1,M,3,2,4,4,2,2
5/24/2018,152458,25000,35,1,F,4,2,4,1,3,4
5/13/2018,152464,35000,39,1,F,3,1,5,4,3,4
5/23/2018,152465,35000,28,0,F,2,2,4,4,4,4
5/12/2018,152466,35000,30,0,F,3,1,2,4,3,4
5/15/2018,152467,30000,25,2,F,1,2,3,4,5,5
5/24/2018,152468,40000,29,1,F,2,2,2,3,1,3
5/22/2018,152469,45000,22,1,F,3,2,4,1,4,2
5/20/2018,152470,20000,54,2,F,5,2,2,2,1,4
5/22/2018,152471,30000,41,0,M,4,2,3,2,1,2
5/12/2018,152472,40000,40,1,M,4,1,4,5,4,1
5/18/2018,152473,45000,33,0,F,1,2,4,3,4,1
5/21/2018,152474,45000,34,0,M,1,2,3,1,5,5
5/19/2018,152475,20000,34,1,M,1,3,3,2,1,4
5/12/2018,152476,15000,25,0,F,3,3,3,4,1,2
5/20/2018,152477,55000,37,0,M,4,1,5,2,2,4
5/20/2018,152478,35000,24,2,M,5,1,3,4,5,4
5/20/2018,152479,35000,52,1,F,2,4,1,3,4,3
5/23/2018,152480,30000,39,0,F,3,3,1,1,4,4
5/11/2018,152494,20000,48,0,F,5,3,1,4,1,4
5/15/2018,152495,40000,24,0,F,5,4,3,2,4,5
5/19/2018,152496,50000,35,0,M,5,2,4,5,3,2
5/13/2018,152497,40000,20,2,F,3,3,3,5,2,1
5/12/2018,152498,45000,26,0,F,5,3,2,1,3,4
5/17/2018,152499,30000,40,0,F,5,1,3,1,2,4
5/14/2018,152500,25000,38,0,F,4,3,3,3,3,3
5/21/2018,152501,35000,40,1,M,4,3,1,3,3,1
5/10/2018,152502,30000,24,0,F,1,1,5,5,1,1
5/12/2018,152503,25000,42,1,M,1,5,3,2,2,1
5/10/2018,152504,35000,33,0,M,1,2,4,2,1,4
5/13/2018,152505,40000,22,0,M,4,1,3,3,2,2
5/18/2018,152506,40000,31,0,F,2,3,3,5,5,1
5/15/2018,152507,25000,38,2,F,4,5,1,4,5,3
5/20/2018,152508,25000,41,2,F,3,4,4,5,2,3
5/21/2018,152509,25000,38,0,F,2,5,3,1,2,4
5/14/2018,152515,35000,35,0,M,5,4,4,3,3,2
5/22/2018,152516,45000,33,0,M,3,5,3,4,2,4
5/10/2018,152517,35000,42,1,F,3,4,3,4,2,5
5/10/2018,152518,40000,34,1,F,5,1,2,5,3,2
5/12/2018,152519,40000,39,0,F,3,4,4,2,3,2
5/14/2018,152520,15000,45,0,M,2,5,2,2,5,2
5/17/2018,152521,40000,28,1,F,4,4,3,3,4,4
5/14/2018,152522,40000,42,1,F,4,3,3,5,2,1
5/14/2018,152523,35000,41,0,F,4,4,3,5,1,2
5/20/2018,152524,40000,36,0,M,4,2,1,3,4,4
5/13/2018,152525,20000,33,2,M,1,4,3,3,4,1
5/24/2018,152526,15000,36,1,M,2,3,1,2,5,5
5/17/2018,152527,30000,29,1,F,3,1,5,1,3,5
5/20/2018,152528,35000,38,0,M,4,5,5,4,5,4
5/18/2018,152529,20000,32,0,F,1,2,4,3,3,1
5/10/2018,152530,45000,26,1,M,4,4,4,1,1,1
5/18/2018,152537,15000,33,1,M,2,3,4,3,3,1
5/10/2018,152538,35000,38,2,F,5,2,2,3,1,5
5/24/2018,152539,30000,43,0,F,1,5,1,1,5,5
5/11/2018,152540,40000,27,1,M,1,4,1,1,2,2
5/16/2018,152541,45000,47,1,F,2,5,4,5,5,3
5/13/2018,152542,30000,28,1,F,1,5,4,4,2,1
5/16/2018,152543,35000,39,2,M,5,5,1,5,3,2
5/10/2018,152544,20000,26,1,F,1,4,5,4,2,1
5/13/2018,152545,55000,20,1,F,3,1,1,4,1,5
5/21/2018,152546,15000,45,0,M,3,5,5,3,4,3
5/19/2018,152547,15000,32,1,M,2,2,3,1,3,4
5/23/2018,152548,35000,36,0,F,2,2,1,5,2,5
5/10/2018,152549,40000,34,1,M,2,4,3,2,2,4
5/10/2018,152550,40000,49,1,M,1,2,2,2,2,3
5/20/2018,152551,40000,30,0,M,5,4,5,3,2,2
5/22/2018,152552,55000,27,0,F,1,1,4,4,5,5
5/23/2018,152553,15000,35,1,F,2,1,3,3,5,3
5/19/2018,152554,50000,53,0,F,2,3,2,4,1,3
5/13/2018,152555,45000,35,0,M,3,3,1,1,1,1
5/23/2018,152561,35000,22,0,F,1,4,5,1,4,5
5/15/2018,152562,15000,54,2,M,4,3,3,5,5,4
5/23/2018,152563,15000,39,1,F,2,1,5,2,4,5
5/17/2018,152564,15000,34,1,M,4,1,4,5,3,3
5/16/2018,152565,50000,44,1,M,5,3,1,5,5,5
5/12/2018,152566,30000,41,0,F,1,5,3,5,4,2
5/21/2018,152567,20000,35,1,M,5,1,1,2,4,4
5/20/2018,152568,50000,30,0,F,1,4,1,2,2,1
5/21/2018,152569,40000,32,0,F,4,2,3,2,1,4
5/19/2018,152570,40000,36,0,M,5,3,4,4,2,1
5/15/2018,152571,30000,40,1,M,1,5,3,5,4,4
5/11/2018,152572,35000,26,0,M,4,1,1,3,1,5
5/15/2018,152573,30000,37,1,F,4,1,2,3,4,2
5/13/2018,152574,35000,21,3,M,3,4,1,5,5,3
5/24/2018,152575,40000,21,1,M,3,4,5,1,5,1
5/14/2018,152576,55000,27,0,M,5,5,2,3,4,4
5/10/2018,152582,30000,21,1,M,1,1,4,1,4,1
5/13/2018,152583,35000,21,0,F,1,4,4,5,2,5
5/13/2018,152584,30000,27,0,M,2,4,4,5,3,2
5/13/2018,152585,30000,37,1,M,1,1,4,3,3,4
5/16/2018,152586,25000,25,0,F,4,5,4,4,3,2
5/16/2018,152587,100000,33,2,F,5,1,3,3,1,2
5/17/2018,152588,20000,41,1,M,2,1,4,5,2,5
5/21/2018,152589,35000,47,0,F,3,4,2,4,4,1
5/21/2018,152590,40000,42,0,F,3,1,5,5,3,2
5/10/2018,152591,20000,38,1,M,1,5,4,5,3,2
5/18/2018,152592,30000,32,0,F,4,5,2,5,3,1
5/14/2018,152593,25000,22,0,M,1,1,4,5,5,2
5/23/2018,152594,20000,48,0,F,2,3,2,4,2,5
5/14/2018,152595,15000,24,0,F,2,1,3,2,2,4
5/19/2018,152596,45000,30,1,F,5,1,2,1,5,1
5/22/2018,152597,25000,31,0,M,3,4,3,5,3,4
5/13/2018,152598,25000,30,1,F,4,4,4,5,5,1
5/13/2018,152599,35000,37,1,F,1,3,3,3,4,5
5/22/2018,152606,35000,42,1,M,5,3,5,1,3,3
5/14/2018,152607,45000,28,0,F,2,1,3,2,2,5
5/16/2018,152608,15000,21,0,M,2,4,5,1,2,1
5/11/2018,152609,40000,44,0,M,3,5,2,4,5,4
5/12/2018,152610,25000,31,0,M,1,2,2,1,3,2
5/12/2018,152611,25000,43,2,M,5,1,2,1,3,5
5/18/2018,152612,20000,52,0,F,3,5,1,4,4,1
5/24/2018,152613,20000,25,0,F,4,4,3,1,3,5
5/21/2018,152614,20000,32,0,F,3,5,5,1,1,1
5/19/2018,152615,45000,20,1,F,2,5,5,4,1,3
5/10/2018,152616,20000,36,1,F,4,3,1,3,4,1
5/13/2018,152617,30000,29,0,F,4,1,2,3,4,1
5/13/2018,152618,30000,33,0,F,3,3,5,1,2,2
5/17/2018,152619,35000,37,2,M,3,4,1,1,4,4
5/18/2018,152620,45000,45,2,M,5,4,1,5,2,5
5/23/2018,152627,45000,40,1,F,2,3,5,3,4,1
5/18/2018,152628,35000,37,0,M,2,3,4,2,1,1
5/21/2018,152629,40000,39,2,M,3,3,2,5,2,2
5/17/2018,152630,55000,31,0,M,2,4,2,5,5,3
5/19/2018,152631,55000,35,0,M,5,4,3,5,5,5
5/24/2018,152632,35000,29,0,F,1,5,2,5,1,5
5/10/2018,152633,25000,23,0,M,4,4,4,5,4,1
5/17/2018,152634,25000,22,2,M,5,5,5,3,5,2
5/24/2018,152635,30000,37,0,F,2,2,2,4,3,2
5/14/2018,152636,25000,30,0,F,2,4,4,3,2,3
5/23/2018,152637,30000,36,0,F,5,5,1,4,4,3
5/13/2018,152638,50000,20,1,F,5,2,5,4,2,1
5/20/2018,152639,35000,32,1,M,3,5,1,2,4,2
5/12/2018,152640,20000,45,0,M,1,2,3,2,5,3
5/18/2018,152641,35000,34,0,M,5,2,4,3,5,1
5/23/2018,152642,55000,42,1,F,5,5,4,5,1,4
5/10/2018,152643,30000,52,0,F,5,1,1,5,5,4
5/14/2018,152644,45000,21,1,M,2,2,2,1,2,5
5/17/2018,152645,30000,30,0,M,2,3,5,1,2,2
5/17/2018,152652,35000,37,0,F,1,3,3,4,3,5
5/22/2018,152653,30000,36,1,M,2,2,1,3,1,2
5/11/2018,152654,25000,53,1,F,3,3,2,1,3,3
5/20/2018,152655,20000,37,2,F,2,4,3,4,5,4
5/13/2018,152656,40000,43,0,F,3,2,2,5,5,1
5/11/2018,152657,30000,40,1,M,3,3,4,3,1,1
5/13/2018,152658,30000,33,0,M,4,4,5,4,1,5
5/18/2018,152659,30000,43,0,M,3,4,1,4,2,4
5/15/2018,152660,40000,35,0,F,3,4,2,3,3,4
5/15/2018,152661,15000,32,0,M,2,4,2,1,2,5
5/18/2018,152662,40000,46,0,M,1,2,3,5,2,4
5/17/2018,152663,20000,38,0,M,4,3,2,4,3,3
5/10/2018,152664,45000,21,0,F,3,4,4,1,3,5
5/13/2018,152665,45000,25,2,M,4,5,2,4,5,4
5/13/2018,152666,35000,51,1,M,1,1,5,3,1,3
5/23/2018,152674,40000,50,0,F,1,5,2,4,4,1
5/17/2018,152675,30000,33,0,F,1,3,3,3,4,3
5/12/2018,152676,35000,43,1,F,1,3,5,1,1,5
5/12/2018,152677,45000,39,0,F,3,2,3,2,4,5
5/20/2018,152678,15000,33,1,M,1,1,3,2,1,3
5/18/2018,152679,35000,39,0,M,5,5,4,5,5,5
5/13/2018,152680,25000,34,0,F,5,4,2,4,5,2
5/12/2018,152681,30000,27,1,F,2,1,4,1,5,2
5/23/2018,152682,30000,43,1,M,5,5,4,4,5,5
5/24/2018,152683,40000,29,0,F,3,2,3,1,2,1
5/16/2018,152684,20000,33,2,F,2,1,2,1,1,4
5/15/2018,152685,35000,35,0,F,3,1,1,5,5,1
5/20/2018,152686,40000,32,1,F,3,1,2,4,5,2
5/20/2018,152687,50000,26,1,M,4,3,5,1,3,4
5/16/2018,152688,35000,53,0,F,2,3,4,5,4,3
5/12/2018,152689,35000,38,0,F,3,1,5,5,2,3
5/19/2018,152690,15000,29,0,M,5,5,5,4,3,2
5/11/2018,152691,55000,38,2,M,5,3,5,4,5,4
5/11/2018,152692,30000,41,0,F,4,3,1,3,5,1
5/20/2018,152698,30000,38,0,F,2,4,3,2,2,5
5/17/2018,152699,35000,53,0,F,1,1,1,4,1,5
5/15/2018,152700,45000,44,0,M,5,1,4,2,5,2
5/15/2018,152701,35000,36,0,F,1,5,4,5,3,1
5/14/2018,152702,30000,39,1,F,5,4,5,1,4,5
5/17/2018,152703,15000,25,1,M,4,1,4,5,3,4
5/16/2018,152704,40000,39,1,M,4,1,2,2,1,5
5/20/2018,152705,30000,30,1,F,4,3,5,2,3,4
5/11/2018,152706,35000,50,0,M,4,5,5,2,1,4
5/22/2018,152707,50000,23,2,F,3,5,4,2,2,5
5/15/2018,152708,25000,30,0,F,3,2,1,5,2,4
5/20/2018,152709,25000,32,0,F,5,1,5,2,3,5
5/24/2018,152710,25000,38,2,M,2,2,3,5,3,4
5/20/2018,152711,30000,51,1,F,1,5,3,1,5,2
5/23/2018,152717,30000,37,2,F,1,1,5,4,3,3
5/18/2018,152718,25000,39,0,M,5,5,5,5,2,4
5/11/2018,152719,25000,33,2,F,1,2,2,4,5,2
5/21/2018,152720,35000,34,0,F,1,2,2,2,5,4
5/10/2018,152721,45000,41,0,F,1,3,4,3,1,4
5/15/2018,152722,40000,37,0,M,4,1,1,1,4,4
5/24/2018,152723,25000,31,1,F,2,1,3,4,1,1
5/11/2018,152724,30000,38,1,M,5,5,4,2,1,4
5/12/2018,152725,40000,38,1,F,1,1,1,2,5,2
5/19/2018,152726,25000,34,0,F,3,3,2,4,4,3
5/18/2018,152727,40000,37,0,M,5,2,2,4,3,3
5/24/2018,152728,30000,28,0,F,3,4,4,3,3,5
5/19/2018,152729,40000,27,0,F,5,4,2,3,2,4
5/23/2018,152730,60000,45,0,M,3,1,3,1,3,3
5/16/2018,152731,15000,36,0,F,1,5,1,1,1,1
5/15/2018,152732,40000,37,0,M,1,4,4,5,1,4
5/15/2018,152733,15000,37,0,M,2,2,3,1,1,1
5/13/2018,152734,15000,34,0,M,5,5,3,4,2,3
5/23/2018,152735,30000,40,2,F,2,2,1,3,1,1
5/13/2018,152736,40000,44,1,M,1,1,4,1,4,3
5/10/2018,152737,15000,45,0,M,4,2,1,2,1,1
5/15/2018,152738,35000,30,0,F,3,2,5,4,2,3
5/22/2018,152739,30000,40,1,M,4,3,5,2,3,1
5/16/2018,152745,30000,56,1,F,4,1,2,5,2,1
5/11/2018,152746,30000,48,1,F,5,4,5,1,2,5
5/22/2018,152747,35000,38,0,M,2,4,4,4,1,4
5/11/2018,152748,35000,38,1,M,5,4,2,1,2,4
5/21/2018,152749,25000,31,0,F,3,5,5,5,2,3
5/17/2018,152750,30000,28,0,M,2,5,4,3,2,3
5/14/2018,152751,40000,35,2,M,5,1,1,3,3,5
5/24/2018,152752,40000,49,0,M,1,3,1,5,3,4
5/23/2018,152753,35000,27,0,M,4,5,4,3,4,3
5/22/2018,152754,30000,46,0,M,1,3,4,4,4,3
5/24/2018,152755,20000,24,1,F,1,1,5,3,2,2
